MODEL,DATASET,CURRICULUM,BY BATCH,EPOCHS,BATCH SIZE,AVG TRAIN ACCURACY,AVG TRAIN LOSS,AVG VALIDATION ACCURACY,AVG VALIDATION LOSS,TEST ACCURACY,TEST LOSS
cnn,cifar10,none,False,50,8,72.92276,0.8984679999999998,69.0206,0.9899460000000002,72.89,2.884
cnn,cifar10,none,False,50,16,86.28384,0.44034600000000007,74.471,0.7937159999999999,75.58,0.4722
cnn,cifar10,none,False,50,32,--,--,--,--,--,--
cnn,cifar10,none,False,50,64,--,--,--,--,--,--
cnn,cifar10,none,False,100,8,--,--,--,--,--,--
cnn,cifar10,none,False,100,16,--,--,--,--,--,--
cnn,cifar10,none,False,100,32,--,--,--,--,--,--
cnn,cifar10,none,False,100,64,--,--,--,--,--,--
cnn,cifar10,none,False,200,8,--,--,--,--,--,--
cnn,cifar10,none,False,200,16,--,--,--,--,--,--
cnn,cifar10,none,False,200,32,--,--,--,--,--,--
cnn,cifar10,none,False,200,64,--,--,--,--,--,--
cnn,cifar10,rmse,True,50,8,99.98872,0.00010000000000000002,12.510399999999999,12.702062000000002,12.29,11.8435
cnn,cifar10,rmse,False,50,8,73.24292,0.42273200000000005,59.2004,1.4015440000000001,60.93,1.1807
cnn,cifar10,rmse,True,50,16,--,--,--,--,--,--
cnn,cifar10,rmse,False,50,16,--,--,--,--,--,--
cnn,cifar10,rmse,True,50,32,--,--,--,--,--,--
cnn,cifar10,rmse,False,50,32,--,--,--,--,--,--
cnn,cifar10,rmse,True,50,64,--,--,--,--,--,--
cnn,cifar10,rmse,False,50,64,--,--,--,--,--,--
cnn,cifar10,rmse,True,100,8,--,--,--,--,--,--
cnn,cifar10,rmse,False,100,8,--,--,--,--,--,--
cnn,cifar10,rmse,True,100,16,--,--,--,--,--,--
cnn,cifar10,rmse,False,100,16,--,--,--,--,--,--
cnn,cifar10,rmse,True,100,32,--,--,--,--,--,--
cnn,cifar10,rmse,False,100,32,--,--,--,--,--,--
cnn,cifar10,rmse,True,100,64,--,--,--,--,--,--
cnn,cifar10,rmse,False,100,64,--,--,--,--,--,--
cnn,cifar10,rmse,True,200,8,--,--,--,--,--,--
cnn,cifar10,rmse,False,200,8,--,--,--,--,--,--
cnn,cifar10,rmse,True,200,16,--,--,--,--,--,--
cnn,cifar10,rmse,False,200,16,--,--,--,--,--,--
cnn,cifar10,rmse,True,200,32,--,--,--,--,--,--
cnn,cifar10,rmse,False,200,32,--,--,--,--,--,--
cnn,cifar10,rmse,True,200,64,--,--,--,--,--,--
cnn,cifar10,rmse,False,200,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,50,8,99.98155999999999,0.00010000000000000002,12.941800000000002,12.273986,12.85,10.3388
cnn,cifar10,spatial_frequency,False,50,8,73.10479999999998,0.777986,56.179,1.24001,57.63,1.5833
cnn,cifar10,spatial_frequency,True,50,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,50,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,50,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,50,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,50,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,50,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,100,8,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,100,8,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,100,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,100,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,100,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,100,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,100,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,100,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,200,8,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,200,8,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,200,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,200,16,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,200,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,200,32,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,True,200,64,--,--,--,--,--,--
cnn,cifar10,spatial_frequency,False,200,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,50,8,99.98876,0.00010000000000000002,12.4952,11.290780000000002,12.35,8.1223
cnn,cifar10,wavelet_energy,False,50,8,73.08528,0.656862,57.15540000000001,1.2919040000000002,59.74,1.5172
cnn,cifar10,wavelet_energy,True,50,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,50,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,50,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,50,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,50,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,50,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,100,8,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,100,8,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,100,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,100,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,100,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,100,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,100,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,100,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,200,8,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,200,8,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,200,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,200,16,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,200,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,200,32,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,True,200,64,--,--,--,--,--,--
cnn,cifar10,wavelet_energy,False,200,64,--,--,--,--,--,--
cnn,cifar10,wavelet_entropy,True,50,8,99.98819999999999,0.00010000000000000002,12.4908,13.918624,12.25,17.9021
